페이지	키워드	제목	URL
1	부산	부산문화회관, ‘매그넘 인 파리’ 개최… 6월 대규모 블록버스터 전시	
1	부산	부동산규제 피해 지방 중도도시로 대이동···외지인 아파트 매입 비율 최고 74%	
1	부산	[SR건설부동산] 외지인 아파트 매입비율 최고 74%…규제 피해 지방으로	
1	부산	"항암치료에도 기도와 수행 통한 대각사 주지 관종스님의 자비나눔은 기적"	
1	부산	"첨단 정밀 건강검진 시스템 갖춘 맞춤형 주치의 되겠다"	
1	부산	달궈진 놋쇠에 ‘동래파전’ 굽는 ASMR과 영상 담았다	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004647737
1	부산	한국어촌어항공단, 멀지 않은 그곳에 가면 청정하고 풍성한 어촌마을이 있다	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001094606
1	부산	오명을 극복한 공간의 변신프롤로그	
1	부산	[종합] '스포트라이트' 백신 모범국이 된 이스라엘, '생생' 현장 취재	
1	부산	[길따라 멋따라] 요트에서 지역 여행까지…호텔에서 못하는 게 없네	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=001&aid=0012424198
2	부산	[통일로 미래로] “열차 타고 북한 체험”…동해북부선 최북단 ‘제진역’	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0011053308
2	부산	오늘 일출·일몰시간 "29일(토) 전국 명소 해 뜨는 시간과 해 지는 시간"	
2	부산	해운대에 나타난 깍두기 남자들의 순정…김원근 초대 조각전	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=021&aid=0002472729
2	부산	부산시 유튜브 'B공식채널' 개편…소통의 장으로	
2	부산	소리로 만나는 부산, '부산의 소리'가 온다!	
2	부산	동래파전 등 부산 음식·명소 소리로 만난다	
2	부산	인천남항 골든하버, 항만규제로 투자유치 사실상 불가	
2	부산	부산시 유튜브 채널 B공식채널 개편, 부산 명소를 ASMR로 만나다	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001094283
2	부산	부산시, 시민 소통 유튜브 채널 'B공식채널' 전면 개편	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005378202
2	부산	소리로 만나는 부산, ‘부산의 소리’가 온다	
3	부산	부산시 유튜브 채널 B공식채널 개편...부산 명소를 ASMR로 만나다	
3	부산	동래파전·기장 아홉산 숲 등 부산 음식·명소를 소리와 영상미로 소개	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010520980
3	부산	부산 명소를 ASMR로 만나다···부산시 유튜브 채널 B공식채널 개편	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003915877
3	부산	소리로 만나는 부산, '부산의 소리'가 온다	
3	부산	이날치·수궁가 열풍은 광주 세계수영선수권대회 덕분?	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=005&aid=0001442863
