iter	MultiClass
0	1.0460725
1	1.0048539
2	0.971398953
3	0.944214341
4	0.92194364
5	0.9037056174
6	0.888072439
7	0.8755397274
8	0.8650509217
9	0.8558266444
10	0.8478269859
11	0.8411118443
12	0.8354858337
13	0.8309567984
14	0.8267948463
15	0.823697459
16	0.8208440766
17	0.8182128143
18	0.8162858769
19	0.8145070492
20	0.8129034512
21	0.8114027953
22	0.8099936013
23	0.808828293
24	0.8075240953
25	0.8062528946
26	0.8056872788
27	0.8050687015
28	0.8045561141
29	0.8038021593
30	0.8029733154
31	0.8026333689
32	0.8020954569
33	0.801404852
34	0.8005587207
35	0.7999731393
36	0.7994163047
37	0.799079773
38	0.7986117554
39	0.7980745677
40	0.797774311
41	0.7973800431
42	0.7970636213
43	0.7965659614
44	0.7959109107
45	0.7954231568
46	0.7947443774
47	0.7942126299
48	0.7939387506
49	0.7935339917
50	0.7931872081
51	0.7928507122
52	0.7927333865
53	0.7924266606
54	0.7918975658
55	0.7914687366
56	0.7910628111
57	0.7908897711
58	0.7903834289
59	0.7900602358
60	0.7896267553
61	0.7893603005
62	0.7891925754
63	0.7890388095
64	0.7889095122
65	0.7883821133
66	0.7881599296
67	0.7878498599
68	0.7875544368
69	0.7872877723
70	0.7870811689
71	0.7867540407
72	0.7866354089
73	0.7862007055
74	0.7859721381
75	0.7858189664
76	0.7856508053
77	0.7853817848
78	0.7850819752
79	0.7848936167
80	0.7845039825
81	0.7842012567
82	0.7838701791
83	0.7836487562
84	0.7831925655
85	0.7826986993
86	0.7825430997
87	0.7822645939
88	0.7821608719
89	0.7817064136
90	0.7813996454
91	0.7812209679
92	0.7809475295
93	0.7807185423
94	0.7804737689
95	0.7803407127
96	0.7801039024
97	0.7799093217
98	0.7797810044
99	0.7795251544
100	0.7792296231
101	0.7788407064
102	0.7784520181
103	0.7779506684
104	0.7775612755
105	0.7771963483
106	0.7769653153
107	0.7767124543
108	0.7763855896
109	0.776044849
110	0.7757592498
111	0.775359864
112	0.775061815
113	0.7745975775
114	0.7743776123
115	0.7740278231
116	0.7736683186
117	0.7734644324
118	0.7732655132
119	0.7730914781
120	0.7728946882
121	0.7724495972
122	0.7722325682
123	0.7718687894
124	0.7715654343
125	0.7713759843
126	0.7710895807
127	0.7708982099
128	0.7705872437
129	0.7701826445
130	0.769729442
131	0.7695718044
132	0.7693130122
133	0.7690534252
134	0.7687669258
135	0.7682564209
136	0.7680117438
137	0.767565609
138	0.7672597667
139	0.7669566508
140	0.7666006522
141	0.76631219
142	0.765729245
143	0.7654140214
144	0.7651236998
145	0.7648268366
146	0.7646583013
147	0.7643528372
148	0.764116362
149	0.7639259461
150	0.7636276495
151	0.7633902961
152	0.7630128953
153	0.7628588214
154	0.7627119513
155	0.7624928398
156	0.76220544
157	0.7619014294
158	0.7616142495
159	0.7612460421
160	0.7609994339
161	0.7605969571
162	0.7603531853
163	0.7600657138
164	0.7599151286
165	0.7597062406
166	0.7594616545
167	0.7591077672
168	0.7588617231
169	0.7586100472
170	0.758347729
171	0.7578781696
172	0.757663357
173	0.7575350403
174	0.757271089
175	0.757143179
176	0.7569395904
177	0.7564585069
178	0.7563007542
179	0.75614021
180	0.7558106298
181	0.755583296
182	0.7551357327
183	0.7549174948
184	0.754766035
185	0.7544815215
186	0.754286048
187	0.7539211017
188	0.75380169
189	0.7535529578
190	0.7533891058
191	0.7532208052
192	0.7529136875
193	0.7526982009
194	0.7524374018
195	0.7520189687
196	0.7518849554
197	0.7516862202
198	0.751205051
199	0.7510105741
200	0.7508407957
201	0.7506742565
202	0.7502527147
203	0.7499409629
204	0.7496216601
205	0.7494682121
206	0.7492805648
207	0.7489611165
208	0.748813489
209	0.7485620949
210	0.7482600625
211	0.7479678958
212	0.7478485194
213	0.7475322678
214	0.7472415752
215	0.7470295951
216	0.7468575221
217	0.7466364718
218	0.7463751462
219	0.7462009388
220	0.7460300603
221	0.7456382764
222	0.7455094913
223	0.7450600059
224	0.7446858412
225	0.7445277268
226	0.7443608968
227	0.7440367947
228	0.7437742905
229	0.7437048716
230	0.7435055875
231	0.743194698
232	0.7429703045
233	0.7427992318
234	0.7425466024
235	0.742395409
236	0.7422503663
237	0.7420301807
238	0.7418240768
239	0.7416170015
240	0.7413951169
241	0.7411944939
242	0.7408979897
243	0.7406484027
244	0.7404825663
245	0.7402217399
246	0.7399555888
247	0.739662297
248	0.7394142597
249	0.7390007249
250	0.7387430248
251	0.738549496
252	0.7383649387
253	0.7381463672
254	0.737965233
255	0.7375246424
256	0.7371223073
257	0.7367336044
258	0.7364740073
259	0.7363426414
260	0.7361463786
261	0.7360185374
262	0.7357306501
263	0.7356282714
264	0.7353546025
265	0.7352630986
266	0.7351196343
267	0.7348763464
268	0.7345917403
269	0.7344567431
270	0.7342446102
271	0.7340703632
272	0.7339254729
273	0.7336638289
274	0.7334770282
275	0.733211959
276	0.7330427729
277	0.7328668925
278	0.7326383546
279	0.7324639545
280	0.732322677
281	0.7320128496
282	0.7319208147
283	0.7315785045
284	0.7314744275
285	0.7312709579
286	0.7310743179
287	0.7307451229
288	0.7306198314
289	0.7303784995
290	0.730027725
291	0.7297857928
292	0.7295319566
293	0.729287535
294	0.7291386567
295	0.7289130123
296	0.7287487058
297	0.7285829722
298	0.7284971483
299	0.7282933341
300	0.7280835459
301	0.7279005862
302	0.7277724616
303	0.7276835637
304	0.7275235776
305	0.7273436898
306	0.7271391428
307	0.7268546927
308	0.7265833532
309	0.7264451247
310	0.7262996723
311	0.7260192327
312	0.72574942
313	0.7255930359
314	0.725302355
315	0.7251777759
316	0.7249757705
317	0.7248001043
318	0.7246990411
319	0.7244682234
320	0.7241860767
321	0.7238623119
322	0.723477099
323	0.7232713858
324	0.7229270514
325	0.7226992493
326	0.7225646067
327	0.7223850474
328	0.7222127135
329	0.7220957085
330	0.7219003747
331	0.7217660971
332	0.7215383178
333	0.7214254804
334	0.7211977243
335	0.721044481
336	0.7206855134
337	0.7204252023
338	0.720041025
339	0.7198476625
340	0.7196829583
341	0.7195647276
342	0.7193086622
343	0.7192130908
344	0.7191044866
345	0.7189481637
346	0.7187828785
347	0.7186188437
348	0.7184713964
349	0.718311853
350	0.71811667
351	0.7178515813
352	0.7177124411
353	0.7176280468
354	0.7174235754
355	0.7170463753
356	0.7168643147
357	0.716754763
358	0.716551513
359	0.7161961942
360	0.7160300435
361	0.715808393
362	0.7156347254
363	0.7154498613
364	0.7151733717
365	0.7150325748
366	0.7149130989
367	0.7147064095
368	0.7145239745
369	0.7141901277
370	0.7140175393
371	0.7139007765
372	0.7137638373
373	0.7135992337
374	0.7133337809
375	0.7131714368
376	0.7129130452
377	0.7127540273
378	0.7124283302
379	0.7121984266
380	0.7120251016
381	0.7117945238
382	0.711674754
383	0.7115366187
384	0.7114329342
385	0.7111595073
386	0.7109473016
387	0.7106997742
388	0.7104829145
389	0.7102162866
390	0.7099754329
391	0.7098321039
392	0.7096945417
393	0.7096156358
394	0.7093838218
395	0.7091895415
396	0.7090480155
397	0.708926008
398	0.7086397179
399	0.7085264925
400	0.7082327381
401	0.7081218115
402	0.7079255096
403	0.707729469
404	0.7075507312
405	0.7073247133
406	0.7071972449
407	0.7069353101
408	0.7067809429
409	0.7065392325
410	0.7063375148
411	0.706194641
412	0.7060367661
413	0.7058259559
414	0.7056624651
415	0.705473082
416	0.7053544767
417	0.7051534996
418	0.705053186
419	0.7046687268
420	0.7045224425
421	0.7042474426
422	0.7040855104
423	0.7038931474
424	0.7037817041
425	0.7037003532
426	0.7034558941
427	0.7033370098
428	0.703165116
429	0.703007306
430	0.7027620156
431	0.7026153495
432	0.7023115141
433	0.7022029447
434	0.7020928549
435	0.7019080429
436	0.701778746
437	0.7016080451
438	0.7014528484
439	0.7013489029
440	0.7010214773
441	0.7009110372
442	0.7006936504
443	0.7005612179
444	0.7003812362
445	0.700178894
446	0.7000793294
447	0.7000085287
448	0.6998072574
449	0.6997522161
450	0.6996738855
451	0.6996146704
452	0.6995450382
453	0.699432251
454	0.6991629047
455	0.6989815284
456	0.6987941309
457	0.6986720664
458	0.6984795549
459	0.6983953905
460	0.6983303195
461	0.6982094177
462	0.6980256139
463	0.6979189711
464	0.6977231133
465	0.6976126685
466	0.697415759
467	0.6972463723
468	0.6970724181
469	0.6969366013
470	0.6967333542
471	0.6965858298
472	0.6964658821
473	0.6962637342
474	0.6960590932
475	0.6959072599
476	0.6957052185
477	0.6955747568
478	0.6954642546
479	0.695112155
480	0.6949722022
481	0.6947287229
482	0.6946301431
483	0.6944219318
484	0.6942667605
485	0.6941673196
486	0.6940378487
487	0.6938684338
488	0.6936809009
489	0.6936128058
490	0.6934573155
491	0.6933214255
492	0.6931402291
493	0.6930478662
494	0.6929710397
495	0.6927411211
496	0.6925580386
497	0.6923319789
498	0.6922212496
499	0.6920475739
500	0.6919333043
501	0.6918375568
502	0.691641639
503	0.6914944137
504	0.6913393972
505	0.6912226883
506	0.6911042424
507	0.6909549793
508	0.6907104876
509	0.6905583032
510	0.690298279
511	0.6902297341
512	0.6900135739
513	0.6899584406
514	0.6898322823
515	0.6897015448
516	0.6895491153
517	0.6892933541
518	0.6891584811
519	0.6890008451
520	0.6885743108
521	0.6883146306
522	0.688212013
523	0.6881259838
524	0.6880045718
525	0.6877965254
526	0.6876878298
527	0.6873811946
528	0.6872561765
529	0.6871597631
530	0.6868798413
531	0.6867355027
532	0.6865317781
533	0.6863392509
534	0.6861860205
535	0.6860012056
536	0.6857872837
537	0.6856871194
538	0.6855236353
539	0.6853970698
540	0.6851969781
541	0.6850967549
542	0.6849022369
543	0.6848080291
544	0.6845676357
545	0.6844507001
546	0.684281922
547	0.6841076678
548	0.6839407012
549	0.6836694573
550	0.6835709285
551	0.6834416288
552	0.6833354357
553	0.6831901698
554	0.6830860668
555	0.6829711048
556	0.6827256436
557	0.6826625444
558	0.6825320942
559	0.6823808331
560	0.6821753285
561	0.682108557
562	0.6819914705
563	0.6818531269
564	0.6817715365
565	0.6816582046
566	0.6815840227
567	0.6812666743
568	0.6812056299
569	0.6810287993
570	0.6809115028
571	0.6808230878
572	0.6806337696
573	0.6803084289
574	0.6801669737
575	0.6799158964
576	0.6797979601
577	0.6796052853
578	0.6794339604
579	0.6793592971
580	0.6792599352
581	0.6791245167
582	0.6790039089
583	0.6788202819
584	0.6786941598
585	0.6785870317
586	0.6784035181
587	0.6782679994
588	0.6781561719
589	0.6779614605
590	0.6776808176
591	0.6775351993
592	0.6773652881
593	0.6773164181
594	0.6772419085
595	0.6771026901
596	0.6769086036
597	0.6767660557
