iter	Passed	Remaining
0	167	167737
1	190	95288
2	227	75522
3	285	71071
4	309	61594
5	324	53680
6	342	48601
7	365	45279
8	377	41591
9	391	38745
10	404	36406
11	418	34451
12	431	32795
13	451	31822
14	474	31154
15	500	30768
16	520	30085
17	548	29943
18	566	29245
19	586	28714
20	603	28146
21	620	27573
22	644	27359
23	660	26867
24	695	27114
25	711	26663
26	730	26329
27	748	25974
28	768	25732
29	787	25473
30	803	25117
31	824	24953
32	845	24769
33	865	24602
34	889	24528
35	921	24686
36	950	24746
37	970	24562
38	1002	24694
39	1030	24729
40	1051	24602
41	1075	24529
42	1089	24246
43	1109	24112
44	1131	24002
45	1150	23859
46	1174	23824
47	1195	23713
48	1216	23618
49	1243	23625
50	1262	23493
51	1279	23323
52	1296	23162
53	1314	23034
54	1333	22906
55	1357	22887
56	1374	22742
57	1392	22616
58	1418	22622
59	1441	22590
60	1462	22516
61	1480	22395
62	1498	22290
63	1516	22182
64	1532	22051
65	1551	21961
66	1573	21911
67	1591	21815
68	1611	21742
69	1631	21675
70	1652	21621
71	1669	21517
72	1689	21458
73	1708	21379
74	1725	21283
75	1740	21159
76	1766	21177
77	1796	21233
78	1816	21179
79	1832	21077
80	1852	21022
81	1872	20960
82	1893	20914
83	1913	20868
84	1934	20823
85	1956	20795
86	1975	20734
87	1994	20670
88	2014	20617
89	2034	20575
90	2054	20525
91	2072	20452
92	2091	20399
93	2112	20362
94	2132	20318
95	2153	20282
96	2172	20224
97	2190	20163
98	2214	20152
99	2233	20100
100	2255	20072
101	2273	20018
102	2294	19978
103	2314	19939
104	2338	19933
105	2359	19897
106	2376	19834
107	2396	19792
108	2415	19749
109	2439	19736
110	2462	19719
111	2483	19689
112	2503	19654
113	2522	19603
114	2543	19576
115	2564	19540
116	2582	19486
117	2601	19442
118	2618	19382
119	2634	19320
120	2658	19311
121	2689	19355
122	2711	19330
123	2726	19261
124	2746	19225
125	2767	19194
126	2789	19177
127	2810	19146
128	2825	19079
129	2842	19025
130	2860	18972
131	2875	18910
132	2892	18853
133	2911	18814
134	2928	18761
135	2951	18747
136	2968	18698
137	2987	18662
138	3003	18607
139	3019	18547
140	3036	18497
141	3050	18434
142	3068	18389
143	3086	18347
144	3103	18301
145	3119	18246
146	3134	18186
147	3153	18154
148	3168	18094
149	3184	18045
150	3201	18002
151	3218	17954
152	3236	17918
153	3253	17875
154	3270	17830
155	3290	17799
156	3309	17768
157	3326	17727
158	3342	17682
159	3362	17653
160	3379	17612
161	3400	17589
162	3417	17547
163	3434	17507
164	3451	17465
165	3466	17416
166	3483	17374
167	3499	17330
168	3515	17286
169	3530	17238
170	3545	17190
171	3562	17151
172	3580	17117
173	3597	17079
174	3614	17038
175	3630	16999
176	3646	16954
177	3662	16911
178	3691	16929
179	3708	16894
180	3730	16879
181	3750	16856
182	3770	16831
183	3788	16800
184	3806	16767
185	3823	16733
186	3845	16718
187	3864	16690
188	3878	16643
189	3893	16596
190	3908	16553
191	3923	16512
192	3939	16473
193	3953	16425
194	3972	16399
195	3989	16366
196	4005	16328
197	4025	16307
198	4046	16289
199	4065	16261
200	4084	16236
201	4102	16207
202	4121	16179
203	4139	16150
204	4156	16120
205	4178	16106
206	4196	16075
207	4211	16035
208	4228	16005
209	4245	15971
210	4260	15931
211	4275	15892
212	4292	15858
213	4307	15820
214	4323	15784
215	4339	15751
216	4358	15726
217	4378	15706
218	4394	15672
219	4410	15636
220	4441	15654
221	4456	15616
222	4473	15586
223	4489	15551
224	4504	15516
225	4521	15486
226	4537	15449
227	4551	15411
228	4566	15373
229	4582	15342
230	4600	15313
231	4612	15270
232	4631	15246
233	4646	15209
234	4663	15181
235	4680	15150
236	4695	15117
237	4709	15078
238	4725	15047
239	4741	15013
240	4756	14979
241	4770	14942
242	4784	14905
243	4800	14873
244	4814	14836
245	4830	14804
246	4845	14770
247	4859	14734
248	4872	14696
249	4888	14665
250	4907	14644
251	4924	14615
252	4940	14588
253	4958	14563
254	4976	14539
255	4997	14524
256	5014	14496
257	5031	14470
258	5050	14450
259	5065	14416
260	5083	14393
261	5098	14362
262	5115	14333
263	5130	14301
264	5149	14281
265	5166	14256
266	5185	14235
267	5202	14210
268	5219	14185
269	5236	14158
270	5254	14133
271	5268	14099
