iter	MultiClass
0	1.673678624
1	1.581194607
2	1.510102324
3	1.44498189444	1.37900357255	1.3242504586	1.284969556
7	1.250505405
8	1.212405498
9	1.175698063
10	1.144898648
11	1.120271282
12	1.094737076
13	1.069132456
14	1.047587714
15	1.025816975
16	1.00776215
17	0.9892685164
18	0.9719623232
19	0.9538674278
2020	0.92878719321	0.9220863909222	0.911516595
23	0.8976469586
24	0.8841797692
25	0.8714757219
26	0.8582411087
27	0.8486138112
28	0.8404838424
29	0.8315527188330	0.8218365126331	0.8135630947332	0.8065688942333	0.7977115188334	0.7899524773535	0.7816781153636	0.7777522037	37	0.7698141138	38	0.7621057139	39	0.7566513682
40	0.7510828141	41	0.7449712133
42	0.7378122621
43	0.7318699774
44	0.7255401046
45	0.7201146773
46	0.7153390661
47	0.7111738638
48	0.7066664571
49	0.7028556932
50	0.697843937
51	0.6931167929
52	0.6891650653
53	0.6837109539
54	0.6803594109
55	0.6773369687
56	0.6717437201
57	0.6679250611
58	0.6644453713
59	0.6621209977
60	0.6585800489
61	0.6537070827
62	0.6510130424
63	0.6471358151
64	0.6442842716
65	0.6412826367
66	0.6382993337
67	0.6344043813
68	0.6316215971
69	0.6286928723
70	0.6248189852
71	0.6221768696
72	0.6192613052
73	0.6172335439
74	0.6136800031
75	0.6113214696776	0.6080792287777	0.6054794234
78	0.6038563375
79	0.6007640074
80	0.5976076209
81	0.5959320813
82	0.5937511938383	0.591691266884	0.5898184798585	0.5873249588686	0.5846889048787	0.5827715148888	0.5808898758989	0.5782984569090	0.5746512189191	0.5724807219292	0.5700997019393	0.5677614369494	0.5644549269595	0.5626419199696	0.5609634709797	0.5585922479898	0.5563705289999	0.55398014310100	0.5506221101	101	0.5489249102	102	0.5468832103	103	0.5444617104	104	0.5422095105	105	0.540878106	0106	0.5380319151
107	0.535572769
108	0.5338760892
109	0.5323947859
110	0.5307409833
111	0.5292781388
112	0.5280949148
113	0.5260196321
114	0.5244791328
115	0.5236457146
116	0.5227025282
117	0.5198375285
118	0.5185643388
119	0.5161362731
120	0.5145306121	121	0.5122195122	122	0.5105417123	123	0.5093006124	124	0.5082117125	125	0.5069677126126	0.50494079127127	0.50276169128128	0.5013891912129	0.49964210130130	0.49745772131131	0.49578037132132	0.49464452133133	0.49302637134134	0.49105554135135	0.48972669136136	0.48786160137137	0.4848041613138	0.48220866813139	0.48113607140140	0.4802179261
141	0.4794122807
142	0.4784786
143	0.4760636871
144	0.473522766
145	0.4713984315
146	0.4701357147
147	0.4687704044
148	0.46733567031149	0.46563980661150	0.46356325961151	0.46182388511152	0.46102042071153	0.45932869731154	0.45788145151155	0.4565596308
156	0.4554006843
157	0.4545654649
158	0.4529242084
159	0.451715996
160	0.449851848
161	0.4480703246
162	0.4472512919
163	0.4456877028
164	0.4445253715
165	0.443485052
166	0.442115353
167	0.4402749386
168	0.4386010215
169	0.4372870923
170	0.4365780871
171	0.4357474217
17172	0.44068215617173	0.43971351417174	0.43780447117175	0.43662552817176	0.43492387017177	0.4335750417178	0.43204843117179	0.43047796818180	0.4288856174
181	0.4274202813
182	0.4260609184
183	0.425063583
184	0.4239394556
185	0.4226797552
186	0.4209193101
187	0.4200356247
188	0.4186244597
189	0.4170340996
190	0.4158857047
191	0.4144627737
192	0.4127157148
193	0.4120560145
194	0.4108572664
195	0.4097450443
196	0.4086075919
197	0.4075210226
198	0.4061968164
199	0.4040470428
200	0.402213113
201	0.4016392282
202	0.4007069092
203	0.3998082286
204	0.3991880215
205	0.3984361502
206	0.3973539178
207	0.3957661139
208	0.3940781805
209	0.392851784
210	0.3922444703
211	0.3910552559
212	0.3897764149
213	0.3883056615
214	0.3876755866
215	0.3869490413
216	0.3858965273
217	0.3846508835
218	0.3824744682
219	0.3814896517
220	0.3808775592
221	0.3795390811
222	0.3779795279
223	0.3771391144
224	0.3762387776
225	0.3746250038
226	0.3737791239
227	0.3722071487
228	0.3708535057
229	0.3702932244
230	0.3688766758
231	0.36812307
232	0.3677429067
233	0.3669545297
234	0.3660512588
235	0.3649338573
236	0.3642613552
237	0.3634155591
238	0.3627508425
239	0.3611644417
240	0.3606299957
241	0.3598404682
242	0.3587263874
243	0.357987303
244	0.356762743
245	0.3556112715
246	0.3548477409
247	0.3538614873
248	0.3531041712
249	0.3520641735
250	0.3510312043
251	0.3494377071
252	0.3483823076
253	0.3480287766
254	0.3469060105
255	0.34553461
256	0.3445086233
257	0.3430915978
258	0.3422390083
259	0.3416288952
260	0.3408695355
261	0.3394087681
262	0.3380417464
263	0.3371235126
264	0.3360717707
265	0.3353948212
266	0.3344546494
267	0.333615919
268	0.3327451464
269	0.3322260337
270	0.3315026475
271	0.3307183396
272	0.3300805585
273	0.3293596621
274	0.3284950222
275	0.3276078993
276	0.3267254404
277	0.3261061143
278	0.3253692402
279	0.3242698353
280	0.323613252
281	0.3231428923
282	0.3222499458
283	0.3212341362
284	0.3204894505
285	0.3196659776
286	0.3192480136
287	0.3180479027
288	0.316206625
289	0.315133809
290	0.3142781199
291	0.3131262605
292	0.3120038301
293	0.310906361
294	0.3099977396
295	0.3091956772
296	0.3084499875
297	0.3073057887
298	0.3067296418
299	0.3058050555
300	0.3048566498
301	0.3037877769
302	0.3025572189
303	0.3017963764
304	0.3005550907
305	0.2995398441
306	0.2989677737
307	0.2981525907
308	0.2973958737
309	0.2962648084
310	0.2956637333
311	0.2946619026
312	0.293832467
313	0.2934943711
314	0.2926207116
315	0.2916640574
316	0.2914014415
317	0.2907894741
318	0.2901771188
319	0.2896258499
320	0.2889095806
321	0.2882351143
322	0.2871269566
323	0.286464364
324	0.286081286
325	0.2853564983
326	0.2845366928
327	0.2835488269
328	0.2828395465
329	0.2823342537
330	0.2815603419
331	0.2807778881
332	0.2803430651
333	0.2795291751
334	0.2788858228
335	0.2779266102
336	0.2772660389
337	0.2765816266
338	0.2756330696
339	0.2748467423
340	0.2739091338
341	0.2733342	0.2342	0.2727343	0.2776487326
344	0.2767648663
345	0.2761367438
346	0.275499892
347	0.2751013299
348	0.2742159889
349	0.2732423639
350	0.2725906175
351	0.2721983357
352	0.2714935628
353	0.2704167585
354	0.2699344698
355	0.2693862758
356	0.2687326819
357	0.268099607
358	0.2676473489
359	0.2667468075
360	0.265900652
361	0.265163853
362	0.2647455329
363	0.2641053367
364	0.2633965055
365	0.262304522
366	0.2616678047
367	0.2609275674
368	0.2602552036
369	0.2598539152
370	0.2590905842
371	0.2584541468
372	0.2579897955
373	0.2576252043
374	0.256711602
375	0.2559962027
376	0.2551461139
377	0.2547120989
378	0.2539236468
379	0.2534840128
380	0.2532177117
381	0.2529578636
382	0.2521289832
383	0.2517062811
384	0.2513689147
385	0.2506564443
386	0.2500504672
387	0.2491528667
388	0.248593915
389	0.2483061937
390	0.2478626814
391	0.2471593057
392	0.2465557308
393	0.2459260134
394	0.2453537916
395	0.245027114
396	0.2441748264
397	0.2437706792
398	0.243353547
399	0.2428463041
400	0.2422309032
401	0.2419243812
402	0.2410736747
403	0.2402625926
404	0.2394840577
405	0.239015982
406	0.2383916954
407	0.2375150484
408	0.2368062354
409	0.2363361665
410	0.235774141
411	0.2351556328
412	0.2348265961
413	0.2338408644
414	0.2332972901
415	0.2328633761
416	0.2323035055
417	0.2320735223
418	0.2314173611
419	0.2309272346
420	0.2305455565
421	0.2301250663
422	0.2296537474
423	0.2291317502
424	0.2285971394
425	0.2275941515
426	0.2270964287
427	0.2265301799
428	0.2260410956
429	0.2256925221
430	0.2251958694
431	0.224804813
432	0.2243806334
433	0.2239685549
434	0.2235135056
435	0.2229153427
436	0.2225975462
437	0.22226437	0.438	0.22167438	0.22517351
439	0.2248212954
440	0.2241172841
441	0.2238366712
442	0.2228421345
443	0.2226178963
444	0.2222674067
445	0.2215473157
446	0.2212370372
447	0.2207795012
448	0.2204100196
449	0.2199409053
450	0.2195998176
451	0.2192399232
452	0.2187511159
453	0.2180615297
454	0.2178708091
455	0.2174109002
456	0.2168823636
457	0.21639493
458	0.2157323132
459	0.2152125312
460	0.2150386853
461	0.2146124486
462	0.2139274349
463	0.2131740363
464	0.213061712
465	0.2124371507
466	0.2121689752
467	0.2119441713
468	0.2117660567
469	0.2114242632
470	0.2109326319
471	0.2105592068
472	0.210182989
473	0.2097544708
474	0.2095065329
475	0.2088987717
476	0.2082651193
477	0.2079316647
478	0.2077155329
479	0.2072629426
480	0.2069151587
481	0.2062737548
482	0.2053624869
483	0.2050860978
484	0.2044158185
485	0.2040292951
486	0.2033287034
487	0.2025998745
488	0.2022595011
489	0.2020355288
490	0.2016044097
491	0.2010990606
492	0.2003992932
493	0.1999561973
494	0.199546335
495	0.1990676257
496	0.1985272403
497	0.1979182709
498	0.1973475642
499	0.1968533354
500	0.1963936564
501	0.1960299004
502	0.1956834125
503	0.1951439688
504	0.1944913097
505	0.1937908791
506	0.1932438604
507	0.1928230243
508	0.1926260088
509	0.1920955784
510	0.1918585546
511	0.1912565941
512	0.1907676488
513	0.1903351281
514	0.190050993
515	0.1897129076
516	0.1895490813
517	0.1891227775
518	0.1887560542
519	0.1883000682
520	0.1877900179
521	0.18748773
522	0.1867655924
523	0.1863546989
524	0.1860773512
525	0.1856802569
526	0.1851939013
527	0.1848246306
528	0.1845499198
529	0.1840438648
530	0.1837758696
531	0.1833597946
532	0.1830393142
533	0.1827379059
534	0.1820347344
535	0.1818048187
536	0.1813599672
537	0.1810904968
538	0.1809204288
539	0.1803278714
540	0.1799669681
541	0.1796146724
542	0.1793677556
543	0.1788710607
544	0.17830914
545	0.1779761393
546	0.1775869926
547	0.1772894571
548	0.1770882705
549	0.1767940172
550	0.1763247296
551	0.1758240752
552	0.1756047398
553	0.175172555
554	0.1750131109
555	0.1746453178
556	0.1742438496
557	0.1738306263
558	0.1735886172
559	0.1731816412
560	0.1726797026
561	0.1723694173
562	0.1719608615
563	0.1715350275
564	0.1712284948
565	0.1708909502
566	0.1706074274
567	0.1701546063
568	0.1697120043
569	0.1694290524
570	0.1692504002
571	0.1689096507
572	0.1687331732
573	0.1681600905
574	0.1679485518
575	0.1677214689
576	0.1674321959
577	0.1671831983
578	0.1670747321
579	0.1667040413
580	0.1663752019
581	0.1660965774
582	0.1656888855
583	0.1656095118
584	0.1651334637
585	0.1649487618
586	0.1647100173
587	0.1644722543
588	0.1642858833
589	0.1637576783
590	0.1635617504
591	0.1632327194
592	0.1628609022
593	0.1626719535
594	0.1624346317
595	0.1620954057
596	0.1616089293
597	0.1612620439
598	0.1606101277
599	0.1603808362
600	0.1599993893
601	0.1596344597
602	0.1593451633
603	0.158798901
604	0.1585350322
605	0.1583043105
606	0.1580961873
607	0.1577611387
608	0.1574030956
609	0.1572429254
610	0.1568697925
611	0.1564713976
612	0.1560663164
613	0.1556482238
614	0.1552923116
615	0.1550328969
616	0.1548058888
617	0.1544634663
618	0.1542932516
619	0.1541653177
620	0.1538680496
621	0.1535700463
622	0.1533115995
623	0.1530361186
624	0.1526556208
625	0.1523341556
626	0.1521544042
627	0.151854892
628	0.1515397633
629	0.1514405128
630	0.151259513
631	0.1507960293
632	0.1504704261
633	0.1502050184
634	0.1499290649
635	0.1496601216
636	0.1494396964
637	0.1491576429
638	0.1488773618
639	0.1486021809
640	0.1484225047
641	0.1481157056
642	0.1478156015
643	0.1474867092
644	0.147287484
645	0.1469970566
646	0.1466014135
647	0.1464200991
648	0.1459195341
649	0.1456227713
650	0.1452993482
651	0.1449788711
652	0.1448609747
653	0.1446545758
654	0.1443086752
655	0.1441518777
656	0.14384584
657	0.1436485909
658	0.1433371998
659	0.1430847059
660	0.1429260773
661	0.1426013921
662	0.1423921287
663	0.1422577502
664	0.1419332822
665	0.1416738845
666	0.1413193881
667	0.1411212709
668	0.14101284
669	0.1405394024
670	0.1403864237
671	0.1402288981
672	0.1400639501
673	0.1398927014
674	0.1397062049
675	0.1395529189
676	0.1392916377
677	0.1389746394
678	0.1387153545
679	0.1382852321
680	0.1379932928
681	0.1377832138
682	0.1373840123
683	0.136960449
684	0.1365688442
685	0.1362919408
686	0.1361490105
687	0.1360494971
688	0.1359311211
689	0.1357393067
690	0.1356030127
691	0.1354005557
692	0.135144896
693	0.1350852895
694	0.1349456846
695	0.1347477823
696	0.1345543267
697	0.1343612268
698	0.1341793215
699	0.1339078051
700	0.1336779624
701	0.1333290288
702	0.1331312054
703	0.1329951674
704	0.1328244846
705	0.1325008081
706	0.1321580593
707	0.1320201808
708	0.13177663
709	0.1316293028
710	0.1314124111
711	0.131093897
712	0.1307507539
713	0.1305212625
714	0.1303094741
715	0.1300599012
716	0.1297137142
717	0.1294601391
718	0.1292801069
719	0.128885546
720	0.1288027297
721	0.1286496687
722	0.128395502
723	0.1279938745
724	0.1277431882
725	0.1275192653
726	0.1272258871
727	0.1271317368
728	0.1268392467
729	0.1266536723
730	0.1264344076
731	0.1262534965
732	0.1261356738
733	0.1259175336
734	0.1257142942
735	0.125518058
736	0.1252351847
737	0.1250248296
738	0.1246498198
739	0.740	0.11849740	0.741	0.11821741	0.742	0.11799742	0.743	0.1177670193
744	0.1174817131
745	0.1172980796
746	0.1171143862
747	0.1169240982
748	0.1167866155
749	0.1164199687
750	0.1160855963
751	0.1158844196
752	0.1156642766
753	0.1154449678
754	0.1152853154
755	0.115140619
756	0.1149651282
757	0.1147592526
758	0.114492123
759	0.1142704386
760	0.1141224285
761	0.1138678967
