iter	Passed	Remaining
0	190	190710
1	226	112791
2	267	88949
3	315	78514
4	348	69314
5	378	62633
6	409	58094
7	443	55007
8	474	52259
9	502	49775
10	532	47858
11	559	46075
12	589	44776
13	623	43877
14	655	43072
15	686	42215
16	720	41674
17	750	40956
18	786	40613
19	817	40079
20	854	39836
21	902	40120
22	946	40192
23	981	39927
24	1009	39386225	1039	38941226	1066	38440227	1099	38164228	1130	37847229	1160	37537330	1195	37354331	1220	36907332	1245	36500333	1274	36215334	1303	35926335	1330	35638336	1356	35301337	1386	35095338	1416	34892339	1446	34715440	1472	34438441	1512	34500
42	1548	34467
43	1580	34336
44	1608	34135
45	1670	34649
46	1705	34585
47	1733	34385
48	1761	34182
49	1785	33930
50	1814	33771
51	1847	33685
52	1876	33531
53	1900	33302
54	1932	33196
55	1965	33138
56	1993	32975
57	2016	32750
58	2047	32654
59	2079	32581
60	2119	32623
61	2157	32641
62	2197	32676
63	2243	32809
64	2268	32638
65	2297	32515
66	2323	32349
67	2351	32232
68	2371	32003
69	2395	31828
70	2423	31710
71	2462	31743
72	2503	31793
73	2550	31913
74	2583	31868
75	2619	31847676	2648	31757777	2679	31669
78	2704	31529
79	2741	31527
80	2773	31470
81	2811	31477
82	2845	31448383	2873	31338484	2903	31268585	2937	31218686	2960	31078787	2990	30998888	3014	30858989	3043	30769090	3069	30669191	3101	30619292	3126	30499393	3158	30449494	3178	30279595	3212	30259696	3253	30289797	3288	30269898	3325	30269999	3363	302710100	3401	302710101	3428	301810102	3452	300710103	3489	300610104	3529	300810105	3560	300310106	3620	30214
107	3658	30216
108	3691	30177
109	3721	30113
110	3748	30021
111	3778	29954
112	3808	29895
113	3842	29861
114	3871	29794
115	3907	29775
116	3930	29664
117	3955	29567
118	3984	29499
119	4007	29387
120	4034	293012121	4058	292012122	4082	291012123	4104	289912124	4133	289312125	4163	288812126	4186	287712127	4210	286812128	4236	286012129	4259	285013130	4289	284513131	4313	283613132	4341	283013133	4364	282013134	4389	281213135	4417	280613136	4445	280013137	4471	279313138	4496	278413139	4527	278114140	4555	27755
141	4585	27708
142	4607	27609
143	4638	27570
144	4661	27489
145	4690	27434
146	4714	27356
147	4737	27271
148	4765	272114149	4791	271515150	4822	271115151	4852	270615152	4877	270015153	4898	269115154	4927	268615155	4960	26840
156	4997	26834
157	5022	26766
158	5051	26719
159	5081	26677
160	5107	26615
161	5141	26596
162	5161	26504
163	5188	26449
164	5218	264016165	5244	263516166	5274	263116167	5299	262416168	5322	261716169	5348	261117170	5370	260317171	5392	2596172	5427	25944
173	5456	25901
174	5483	25849
175	5516	25826
176	5541	25768
177	5570	25725
178	5604	25707
179	5631	25654
180	5664	25630
181	5696	25604
182	5722	25547
183	5746	25484
184	5772	25431
185	5798	25374
186	5822	25313
187	5852	25278
188	5875	25212
189	5905	25175
190	5932	25127
191	5960	25085
192	5997	25076
193	6025	25034
194	6046	24961
195	6069	24895
196	6100	24865
197	6123	24802
198	6149	24751
199	6174	24698
200	6203	24659
201	6226	24597
202	6252	24549
203	6276	24492
204	6306	24455
205	6334	24415
206	6362	24374
207	6387	24323
208	6411	24264
209	6437	24216
210	6458	24148
211	6486	24109
212	6515	24072
213	6537	24013
214	6557	23941
215	6589	23915
216	6611	23854
217	6637	23808
218	6665	23771
219	6697	23747
220	6730	23723
221	6756	23677
222	6778	23620
223	6804	23572
224	6834	23540
225	6864	23509
