페이지	키워드	제목	url
1	킥보드	[풀뿌리상권 살려내자]`이천 도자예술마을`에서 공예체험·도자기 쇼핑 한번에 누리세요	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002682876
1	킥보드	법 강화에도…전동 킥보드 불법운행 여전	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=087&aid=0000849379
1	킥보드	이용률 반토막 공유킥보드...업체별 돌파구는?	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002225879
1	킥보드	우리 미래세대 알파세대 손자와 동행	
1	킥보드	美 공유킥보드 버드, 전기 자전거 출시	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002225872
1	킥보드	[모빌리티 인사이트] 알아서 날아가는 항공기가 있습니다	
1	킥보드	[보행자는 빨간 신호등①] '일단스톱' 문화 정착 절실	
1	킥보드	경기도의원들, 이동식 스튜디오 ‘정책편의점’서 정책꾸러미 펼쳐	
1	킥보드	전동킥보드-자동차 충돌때… ’이러면' 100% 킥보드 과실	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=024&aid=0000069337
1	킥보드	제천지역 전동 킥보드 경찰 단속 외면으로 불법 운행 여전	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005435567
2	킥보드	[풀뿌리상권 살려내자]`이천 도자예술마을`에서 공예체험·도자기 쇼핑 한번에 누리세요	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002682876
2	킥보드	법 강화에도…전동 킥보드 불법운행 여전	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=087&aid=0000849379
2	킥보드	이용률 반토막 공유킥보드...업체별 돌파구는?	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002225879
2	킥보드	우리 미래세대 알파세대 손자와 동행	
2	킥보드	美 공유킥보드 버드, 전기 자전거 출시	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002225872
2	킥보드	[모빌리티 인사이트] 알아서 날아가는 항공기가 있습니다	
2	킥보드	[보행자는 빨간 신호등①] '일단스톱' 문화 정착 절실	
2	킥보드	경기도의원들, 이동식 스튜디오 ‘정책편의점’서 정책꾸러미 펼쳐	
2	킥보드	전동킥보드-자동차 충돌때… ’이러면' 100% 킥보드 과실	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=024&aid=0000069337
2	킥보드	제천지역 전동 킥보드 경찰 단속 외면으로 불법 운행 여전	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005435567
3	킥보드	[풀뿌리상권 살려내자]`이천 도자예술마을`에서 공예체험·도자기 쇼핑 한번에 누리세요	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002682876
3	킥보드	법 강화에도…전동 킥보드 불법운행 여전	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=087&aid=0000849379
3	킥보드	이용률 반토막 공유킥보드...업체별 돌파구는?	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002225879
3	킥보드	우리 미래세대 알파세대 손자와 동행	
3	킥보드	美 공유킥보드 버드, 전기 자전거 출시	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002225872
3	킥보드	[모빌리티 인사이트] 알아서 날아가는 항공기가 있습니다	
3	킥보드	[보행자는 빨간 신호등①] '일단스톱' 문화 정착 절실	
3	킥보드	경기도의원들, 이동식 스튜디오 ‘정책편의점’서 정책꾸러미 펼쳐	
3	킥보드	전동킥보드-자동차 충돌때… ’이러면' 100% 킥보드 과실	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=024&aid=0000069337
3	킥보드	제천지역 전동 킥보드 경찰 단속 외면으로 불법 운행 여전	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005435567
