글쓴이	날짜	조회수	추천수	댓글수	제목	URL	본문
페르소나	2021.06.28 09:21	0	41	개의 댓글	집을 보러온 풋풋한 신혼부부	https://pann.nate.com/talk/360776137?page=1	
ㅇㅇ	2021.06.28 00:01	0	30	개의 댓글	태연 수지 아이유 제니 희망찬	https://pann.nate.com/talk/360767710?page=1	태연 수지 아이유 제니 희망찬 내일을 향해 꿈꿔보자 ♥
행복이야기	2021.06.26 13:31	0	20	개의 댓글	모래와 돌~	https://pann.nate.com/talk/360731905?page=1	♥ 모래와 돌 ♥ 두 사람이 사막을 걸어 가고 있었습니다그런데 문제가 생겨 서로 다투게 생겼습니다  한 사람이 다른 사람의뺨을 때렸습니다뺨을 맞은 사람은 기분이 나빴지만 아무 말을 하지 않았습니다  그는 모래에 이렇게 적었습니다  오늘 가장 친한 친구가 나의 뺨을 때렸다  두 사람은 오아시스가 나올때까지 말없이 걸었습니다  마침내 오아시스에 도착한 두 친구는그곳에서 목욕을 하기로 했습니다  뺨을 맞았던 사람이 목욕을 하러 들어가다 늪에 빠지게 되었는데 그때 뺨을 때렸던 친구가 그를 구해 주었습니다  늪에서 빠져 나왔을때이번에는 돌에 이렇게 썼습니다오늘 나의 가장 친한 친구가나의 생명을 구해 주었다  그를 때렸고 또한 구해준 친구가 의아해서 물었습니다  내가 너를 때렸을 때는 모래에다 적었는데  왜 구해준 후에는 돌에다가 적었지?  친구는 대답했습니다  누군가 우리를 괴롭혔을 때우리는 모래에 그 사실을 적어야 해 용서의 바람이 불어와 그것을 지워버리도록  그러나 누군가가 우리에게 좋은일을 했을 때우리는 그 사실을 돌에다 기록해야 해그래야 바람이 불어와도영원히 지워지지 않을 테니까  - 좋은글 中 -------------------------------(카카오톡 공유가능) ↓★ 엄성된 좋은글,명언 더 알아보기 ★ 건강,힐링,성공지혜 더 알아보기 ※ "행복이야기" 카톡 친구하기
40년모기지	2021.06.21 03:25	0	70	개의 댓글	대기업 민간단체 위기가구 생계지원금...	https://pann.nate.com/talk/360629797?page=1	위기가구 생계지원금은 정부지원금만 있는 것이 아니더라고요.신한금융, 대한적십자, 초록우산, 아산사회복지재단, 월드비전, 이랜드 그리고 복지로 희망복지지원단 통합사례관리사업 등 정부 지원금 말고도 다양한 방법으로 어려움을 극복할 수 있습니다.< 대기업 민간단체 위기가구 생계지원금 지원사업 7가지 >
새벽냄새	2021.06.17 23:59	0	78	개의 댓글	글	https://pann.nate.com/talk/360562820?page=1	잠든 세계의 새벽 냄새 그 느낌      남들이 잠든 새벽 2:35분, 담배피러 나왔을 시각 4:12분남들은 잘시간이었던 시간에 난 눈을 떠 나 혼자만의 새벽 냄새를 맡았다 그 순간만큼은 이세상 어떤것의 걱정도 근심도 행복도 슬픔도 모든 감정을 초월해 무 라는 세계에 빠져들 수 있다. 이 나만의 눈뜬채로 꿈꾸는 새벽시간 갖가지 신비한 느낌과 냄새 생각들이 교차하며 만들어가는 내 머릿속의 세계에서 행복을 느끼게된다 첫 번째 이야기는 내가 걷고있을 때 만들어간 신비한세계를 이야기해 보려한다     {도로위를 걷는 보이지않는 생명}내가 도로를 걷고있었던건 눈을 뜨고 일어난 새벽 3:00이후 잠에서 깨버린 난 담배를 태울생각에 주섬주섬 옷을 입고 집 앞 거리로 발을 내딛었다 역시나 느껴오는 새벽냄새는 내 몸 주위로부터 살며시 감싸며 아래에서 위로 또 위에서 아래로 감싸져 코를 통해 몸 전채로 퍼져나간다 ‘잠도 안오는데 잠깐 걷다 들어갈까?’ 하는 생각에 천천히 걸음을 한걸음 한걸음 내딛고있을 때 어느 한 골목 거리를 보게되었다 이상하리만큼 어두웠고 이런곳에 골목이 있었나 싶을정도로 느껴지는 이질감들이 왠지 이곳에 발을 들이면 안된다는 생각이 들게 할 정도로 소름이 돋았다 하지만 새벽냄새를 좋아하던 나였기에 어둡고 이질감이 들던 그골목의 냄새를 맡고 천천히 한걸음씩 내딛어 앞으로 가고자한다‘음.. 역시 돌아갈까’ 라고 생각을 하던중 나에게 느껴진 생명의 기척 그것은 분명 내앞에 내뒤에 내옆에 내위에 내 주위에서 나를 감싸고 포근하고 신비로운 느낌을 주게 만들었다‘이게 대체 뭘까 무슨 느낌이지?’ 난생 처음 느껴보는 그 느낌을 가지고 또 한걸음씩 내딛었을 무렵 어떠한 생각이 들기 시작했다.‘아 보이지않는 생명이 날 이끌었구나’ 난 그 느낌을 믿고 계속 걸어가 보기로 다짐했다 그 이상하리만치 어둡고 이질감이 느껴지는 거리를.. 약간의 섬뜩함과 소름, 그리고 신비함과 궁금, 이러한것들이 모여 그 골목길은 이윽고 나만의 신비한 세계를 만들었고 보이지않는 생명과 대화를 하고 싶어 말을 걸게 되었다. ‘ 넌 내 주위에있니?’ ‘...’ ‘역시 누가보면 날 정신병자 취급할거야 그만두자’ 하고 뒤를 돌아 다시 돌아가려는 찰나 뒤를 돌자마자 내뒤에 ‘투둑..’ 하는소리 순간 놀랐지만 뒤를 자연스레 돌아봤을 때 내 발 앞에 있던 작은 솔방울 하나 나도 모르게 그 솔방울을 주워들고, ‘대답 해주었구나 고마워 넌 나에게 또 누구에게 어떤 존재일지 모르지만 나에게는 신비스럽고 행복을 주는 존재라고 믿을게’ 그리고 돌아가기를 멈추고 다시 그 어두운 골목을 걷기 시작했다‘ 한걸음 한걸음 내딛으며 ’너는 혼자니?‘ ’...‘’ ‘혼자가 아니면 여럿이야?’ ‘투둑...’ 또 떨어진 솔방울 하나 우연일수도 있지만 내말에 대답이라도 하듯 발 앞에 떨어지는 솔방울이 왠지 신기하고 기분이 좋아져 말을 걸 수밖에 없었다 ‘역시 눈에 보이지 않지만 너희는 있구나’ ‘나를 여기로 초대한 이유가 뭘까?’ 라고 생각을 했었고 그 생각을 내뱉었다 ‘나를 여기로 초대한 이유가 뭐야?’ ‘...’ 들리지 않는 아니 보이지않는 솔방울 그것이 말을 바꿔야겠다고 생각했다 ‘내가 필요해?’ ‘투둑...’ 그러자 떨어지는 솔방울 난 또 그것을 주워들고 나를 필요로 하는 어떤 생명을 위해 계속 한걸음씩 내딛었다 그러다 도착한 어떤 언덕 ‘우리동네에 이런곳이 있었던가...’ 라고 생각할 만큼 이상한 언덕에 도착해 그곳을 넘어 가고있을 무렵 갑자기 쏟아지는 솔방울들이 날 놀라게했다 ‘투두둑’ ‘투두둑’ ‘투두둑’ 수많은 솔방울들을 피해 달리고 도착한 어느 작은 집 그 집은 사람의 무릎 정도 크기의 집이었다 그 옆엔 평생 본적 없을 정도로 큰 버드나무 한 그루가 날 놀라게했다 ‘이런 버드나무가 있었나? 이정도면 평소에 안보이던게 이상한데..’ 그나무에 손을 대자 멈추는 솔방울들의 비 ‘휴.. 드디어 멈췄네 이제 돌아가자’ 하고 집으로 향하려 하던 찰나 무언가 느껴지는 생명의 기척에 그 작은집 앞에 서게 되었다.뭘까 이집은 어떤 집이길래 이토록 애잔하고 아련한 마음을 들게 하는걸까...난 아까 보이지 않는 생명이 대답해준 솔방울 세 개를 그 집 문앞에 놔두고 잠시 눈을 감고 생각했다 ‘신비한 기분을 느끼게 해줘서 고마워’ 짧게 인사를 남기고 그곳을 빠져나오자 보이는 정자에 잠시 쉬기로 결정했다. ‘오늘 참 신기한 경험을 했어 이기분 잊지 못할거야’ 하며 나도 모르게 단잠에 빠져버렸다 아침이 되어서야 눈을 뜬 나는 정말 알 수 없는 경험을 했다고 단정지을 수밖에 없었다. 왜냐 눈을 뜬곳은 정자가 아닌 바로 내 집 내 방이었다 갑자기 어떤 신비한 기분이 온몸을 감싸 안았고 나쁘지 않은 기분에 아 꿈을 꾸었구나 생각했다. 어느 날의 이 신비하고 이상한 기억과 느낌을 기억하기 위해 노트에 적기 시작하려 하는 찰나 내 주머니에서 ‘ 투둑... ’ 떨어지는 솔방울 세 개 이것의 존재는 분명 난 꿈을 꾼게 아닌 경험을 했고 보이지 않는 생명과 조우해 신비한 세계로의 초대를 받았음을 확신했다 그존재가 무었이든 난 스케치북에 기억하는 버드나무와 작은 집을 그려넣고 그앞에 솔방울 세 개를 놓고 사진으로 기록하기로 하였다 다시 초대받기를 원하며 ‘ 언젠간 다시 한번쯤은 볼 수 있을거야’ 하며 이이야기를 마친다그리고 오늘 다시 그 골목을 가보려한다..
산으로간고등어	2021.06.17 12:21	0	98	개의 댓글	장기기증 받고 진행된 K리그 경기....	https://pann.nate.com/talk/360550435?page=1	문체부랑 k리그가 진행한 장기기증 캠페인 경기<생명나눔 유니폼 캠페인>​​출처 : 문화체육관광부 유튜브
리아야힘내	2021.06.14 23:57	0	465	개의 댓글	난 그냥 리아 볼때마다 안쓰...	https://pann.nate.com/talk/360505114?page=1	이번에도 잘 이겨내길 바라지만 진짜 옆에 있어주고싶다 뭐 맴버들이 있어서 괜찮으리라 믿지만.  유나야 리아 잘챙겨줘라ㅠㅠ
원미미	2021.06.11 22:22	0	124	개의 댓글	[신천지 자원봉사단] 벽화그리기 봉...	https://pann.nate.com/talk/360432587?page=1	[신천지 자원봉사단] 벽화그리기 봉사 "사랑을 전해요"   ​“사랑을 전해요~~”안녕하세요?아름다운 6월의 아침 인사올리며오늘은 이웃님들께 사랑을 전하는 담벼락 벽화 그리기 이야기로 기쁜^^ 소식을 전해드리려고요.작년부터 시작된 코로나19 바이러스로 인해 전 국민이 고통과 어려움을 겪고 있는 시기에서울야고보지파 신천지 자원봉사단은 낙후된 시설물과 담벼락 재생사업의 일환으로2021년 4.26 ~ 5.3까지 총 8일 동안 '담벼락 벽화 그리기 봉사'를 진행하였습니다.이번에 진행된 벽화봉사는 수유동 주민센터로부터 추천을 받아서 진행한 것으로,혜화여고 맞은 편 빌라의 낡은 담벼락을 새로 재조성하고자80명의 자원봉사자가 벽화 그리기 봉사에 자발적으로 참여했답니다.또한 착착 캠페인 등...협약을 맺고 있는 업체와 정기적으로 방역봉사를 진행하고 있는업체 22곳에서도 함께 후원을 해주셨습니다.  ​드디어 8일 간 80명의 자원봉사자의 땀방울의 수고 결과로 드러난 담벼락 벽화!와 ~~! 이번에도 또 예쁜 담벼락이 탄생되었습니다.정말 멋지지요?걸어가다가 저기 저 의자를 보면 그만 앉아보고 싶겠어요.뜨거운 햇빛 속에서도 꿋꿋하게 자리를 지키며 이웃을 위한 사랑의 봉사정신으로열심을 다 한 결실이 저리 멋지고 대단한 작품으로 탄생했네요.열정이 뜨거운만큼 벽화그리기 장소는 그야말로 생생 리얼 장소였답니다.   ​비록 서울야고보지파 신천지 자원봉사단 성도님들이 디자인, 미술 전공자는 아니지만,아름다운 세상을 만들기 위해 모두가 한마음으로 팔을 걷어부치고 저리 애써주시니이웃 향한 봉사와 노력의 정신에는 그 누구에게도 지지 않는 멋진 분들이시죠?담벼락 벽화 그리기 시작부터 마지막 순간까지 꼼꼼하게 작업을 하신 자원봉사자님들!정말 고맙습니다. 아름다운 세상 만들어주셔서요 !많은 시민들이 지나다니시며 즐겁게 바라보시고 마음으로 힐링하실 것을 생각하니신천지 자원봉사단들의 벽화 그리기 자원봉사단은 뿌듯한 마음으로 늘 작업에 전념한답니다. 이번 봉사는 주민분들의 90% 이상의 동의를 얻어 진행하게 되었고요.이에 수유동장님께서 자원봉사자들이 고생을 하고 있다면서 음료수를 들고여러번 담벼락 벽화 그리기 봉사 장소에 방문을 해주셨답니다.음료수 감사히 잘 마셨습니다. 동장님 ~~!​ ​8일간에 거쳐 벽화를 그리느라 비록 몸은 힘들고 고단했지만모두가 한 마음이 되어 완성된 벽화 작품을 보니마음은 더없이 보람을 느끼게 되었다 해요.이번 담벼락 봉사에 참여했던 한 자원봉사자는"내가 그림을 잘 그리지는 못해도 조그만 일이나마 봉사에 보탬이 될 수 있어서 너무 좋았고,신천지 자원봉사단 로고를 그릴때 기쁜 마음이 들었다"고 소감을 밝혀 주었습니다."네 이웃을 네 몸같이 사랑하라" 하신 하나님과 예수님의 말씀대로실천 신앙하는 신천지 예수교회임을 강조해도 조금도 과하지 않겠죠?우리들 옆에 있는 소중한 이웃에게 예수님의 사랑을 널리 전하는 신천지 자원봉사단은아.름.다.운. 봉사단체랍니다^^앞으로도 또 어떤 담벼락의 모습을 마주하게 될지 기대가 모아지지 않나요?이상 서울야고보지파 신천지 자원봉사 담벼락 봉사 이야기를 끝마치겠습니다. 다음 자원봉사 이야기를 기대해주세요 ~~혹시 여러분 동네 담벼락 이야기가 될지도 ^^ㅎㅎ
ㅜㅠㅜ	2021.06.11 11:52	0	151	개의 댓글	내 얘기 좀 들어줘	https://pann.nate.com/talk/360423102?page=1	안녕하세요, 채널A 다큐멘터리를 제작 중인 제작진입니다.제가 이렇게 글을 쓰게 된 것은 저희가 현재 주식이나 코인 등에 투자를 하고 있는 2030 세대들을 취재 중이기 때문인데요,     국내에서 주식과 코인 열풍이 불면서 많은 2030분들이 투자에 뛰어들고 있다고 들었습니다.저는 그중에서 투자를 시작하신 이후에 손해를 보신 사례자분들을 취재하고자 이렇게 글을 쓰게 되었습니다.     - 금전적 손해를 극심하게 보신 분들- 투자를 하면서 빚이 생기신 분들- 관련된 고민을 털어놓고 싶으신 분들     아래 연락처로 연락 주시면 저희 프로그램과 관련하여 자세하게 설명 드린 후, 전화취재 진행하도록 하겠습니다. 그럼 많은 분들의 연락 기다리겠습니다.     담당 작가 010-9952-9296
냥냥	2021.06.10 17:20	0	110	개의 댓글	내 취업은..	https://pann.nate.com/talk/360407716?page=1	안녕하세요, 채널A 창사 10주년 특집 다큐멘터리 팀 제작진입니다.현재 저희 팀은 MZ세대를 주제로 3부작 다큐멘터리를 제작 중에 있습니다.     저희는 MZ세대의 특징과 변화해가는 가치관에 대한 이야기를 다루고자 하는데요.그중에서도 취업관에 대하여 현실적인 이야기를 해 주실 분을 찾고 있습니다.     취업 준비를 위해 남들에게 보이는 것보다 개인 스스로 훨씬 많은 노력과 준비를 하고 계신다는 것을 알고 있습니다. (자소서 쓰기, 면접 준비, 자격증 시험 등) 취업 준비를 위해서 공부를 하면서도 동시에 알바까지 병행하며 열심히 살아가고 있는 이 시대의 진정한 2030 세대들에게 직접 취업에 대해 느끼는 감정과 다양한 생각들, 청년 세대가 바라는 사회에 대한 이야기를 듣고자 합니다.     당장 촬영을 시작한다거나 무언가 진행을 하겠다는 것은 아니고, 사전에 전화로 프로그램에 대해 자세한 설명해 드리고, 기본 취재를 진행한 후에 미팅 등이 이루어질 예정입니다.좋은 취지의 방송이니 긍정적인 답변 기다리겠습니다.     010-9952-9296 담당 작가
