기준년월	지역명	지역코드	법정동	아파트	거래금액	년	월	일	건축년도	전용면적	층
202006	서울특별시	11000	 안양동	신성안양미소지움	    44,500	2021	1	1	2008	115.6691	13
202006	서울특별시	11000	 안양동	뉴골든	    17,000	2021	1	1	1988	44.325	1
202006	서울특별시	11000	 안양동	흥화브라운빌	    37,400	2021	1	2	2003	79.675	12
202006	서울특별시	11000	 안양동	뉴골든	    23,500	2021	1	2	1988	62.28	4
202006	서울특별시	11000	 안양동	안양역한양수자인리버파크	    66,500	2021	1	2	2019	59.4745	12
202006	서울특별시	11000	 안양동	이너스내안에	    39,500	2021	1	3	2008	59.63	15
202006	서울특별시	11000	 안양동	효성화운트빌	    38,500	2021	1	4	2003	84.771	18
202006	서울특별시	11000	 안양동	삼성	    46,000	2021	1	4	1994	84.99	1
202006	서울특별시	11000	 안양동	장은한양	    25,000	2021	1	4	2001	58.74	6
202006	서울특별시	11000	 안양동	갤럭시뷰	    24,550	2021	1	4	2015	64.75	9
202006	서울특별시	11000	 안양동	성원(164-12)	    29,900	2021	1	5	1998	59.245	14
202006	서울특별시	11000	 안양동	진흥(97-3)	    55,000	2021	1	5	1983	58.17	5
202006	서울특별시	11000	 안양동	효성화운트빌	    35,900	2021	1	5	2003	84.771	13
202006	서울특별시	11000	 안양동	율목주공	    35,800	2021	1	5	2000	59.89	7
202006	서울특별시	11000	 안양동	미도	    25,000	2021	1	6	2001	83.41	5
202006	서울특별시	11000	 안양동	뉴골든	    21,800	2021	1	6	1988	53.07	4
202006	서울특별시	11000	 안양동	수리산현대(1062-2)	    51,500	2021	1	6	2001	122.733	6
202006	서울특별시	11000	 안양동	흥화브라운빌	    37,200	2021	1	7	2003	84.693	8
202006	서울특별시	11000	 안양동	장은한양	    22,000	2021	1	8	2001	58.74	7
202006	서울특별시	11000	 안양동	냉천마을현대	    45,000	2021	1	8	1997	111.99	7
202006	서울특별시	11000	 안양동	주공뜨란채(아)	    70,500	2021	1	9	2004	84.8	3
202006	서울특별시	11000	 안양동	뉴골든	    24,800	2021	1	9	1988	62.28	4
202006	서울특별시	11000	 안양동	세양청마루	    30,000	2021	1	9	2008	72.21	12
202006	서울특별시	11000	 안양동	래미안안양메가트리아	    74,500	2021	1	9	2016	59.65	25
202006	서울특별시	11000	 안양동	래미안안양메가트리아	    94,500	2021	1	9	2016	84.82	18
202006	서울특별시	11000	 안양동	래미안안양메가트리아	    89,000	2021	1	9	2016	84.7	2
202006	서울특별시	11000	 안양동	우성1차	    25,500	2021	1	9	1988	55.02	4
202006	서울특별시	11000	 안양동	신흥	    28,000	2021	1	9	1985	55.86	1
202006	서울특별시	11000	 안양동	주공뜨란채(아)	    59,700	2021	1	9	2004	59.92	2
202006	서울특별시	11000	 안양동	한솔(106동1,2호)	    40,000	2021	1	9	2004	84.97	5
202006	서울특별시	11000	 안양동	안양역한양수자인리버파크	    68,000	2021	1	9	2019	59.7649	23
202006	서울특별시	11000	 안양동	삼성래미안	    70,000	2021	1	9	2002	79.2856	4
202006	서울특별시	11000	 안양동	삼성래미안	    73,000	2021	1	9	2002	79.3188	16
202006	서울특별시	11000	 안양동	하이트타운아파트102동	    29,400	2021	1	9	2018	64.28	11
